objectid,pid,filename,title,display_field,object_location,image_small,image_thumb,contributing_institution,contributing_institution_valueURI,personal_creator,personal_creator_valueURI,corporate_creator,corporate_creator_valueURI,personal_contributor,personal_contributor_valueURI,corporate_contributor,corporate_contributor_valueURI,description,table_of_contents,annotation,language,topical_subject_fast,topical_subject_fast_valueURI,geographic_subject_fast,geographic_subject_fast_valueURI,topical_subject_local,topical_subject_local_valueURI,geographic_subject_local,geographic_subject_local_valueURI,personal_name_subject,personal_name_subject_valueURI,corporate_name_subject,corporate_name_subject_valueURI,chronological_subject,extent,aat_type,aat_type_valueURI,aat_genre,aat_genre_valueURI,dcmi_type,dcmi_type_valueURI,type_of_resource,imt_type,rights_management,rights_management_valueURI,date_original,date_digital,publisher,publisher_valueURI,ark,archival_call_number,local_id,date_created,date_modified,digital_collection,digital_collection_ark,related_exhibit,related_exhibit_url,hardware_software,disclaimer,image_manipulation,file_size,resolution,colorspace,bits_per_sample,samples_per_pixel,height,width,digital_origin
cookbooks_001,Cookbooks_160,woman_suffrage_cook_book.pdf,Woman Suffrage Cook Book,pdf,/objects/woman_suffrage_cook_book.pdf,/objects/small/woman_suffrage_cook_book_sm.jpg,/objects/thumbs/woman_suffrage_cook_book_th.jpg,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Burr, Hattie A.",http://id.loc.gov/authorities/names/n89663457,,,,,,,"Guide to cooking, housekeeping, and care of the sick, published by Mrs. Hattie A. Burr of Boston to support the women's suffrage movement. The foreword notes that many of the contributors are ""eminent in their professions as teachers, lecturers, physicians, ministers, and authors."" This copy is missing pages 65 and 66.",,,eng,"Cooking, American;Cooking for the sick;Women--Suffrage",http://id.worldcat.org/fast/1753224;http://id.worldcat.org/fast/1753110;http://id.worldcat.org/fast/1176996,United States,http://id.worldcat.org/fast/1204155,,,,,,,,,1890s,160 pages; 19 cm,,,cookbooks,http://vocab.getty.edu/aat/300026109,Text,http://purl.org/dc/dcmitype/Text,text,application/pdf,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1890,,,,https://n2t.net/ark:/87292/w9q34c,TX715.B968.1890,Cookbooks_160,2012-05-08,2023-02-15,Cookbook Collection,https://n2t.net/ark:/87292/w92f7jq9f,Iowa Cookbook Collection,https://n2t.net/ark:/87292/w94b2xb69,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.3,,16995462 Bytes,,,,,,,,reformatted digital
cookbooks_002,Cookbooks_442,suffrage_cook_book.pdf,Suffrage Cook Book,pdf,/objects/suffrage_cook_book.pdf,/objects/small/suffrage_cook_book_sm.jpg,/objects/thumbs/suffrage_cook_book_th.jpg,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Kleber, Elizabeth Rattigan",,,,,,,,"Written by Elizabeth Kleber (Mrs. L. O. Kleber) and published by the Equal Franchise Federation of Western Pennsylvania, Pittsburgh. This copy was given to Carrie Chapman Catt according to a handwritten note inside the cover: ""To Mrs. Carrie Chapman Catt from the editress, Elizabeth Kleber, August the twenty-third.""",,,eng,"Cooking, American;Women--Suffrage",http://id.worldcat.org/fast/1753224;http://id.worldcat.org/fast/1176996,United States,http://id.worldcat.org/fast/1204155,,,,,"Catt, Carrie Chapman, 1859-1947",http://id.loc.gov/authorities/names/n50035823,,,1910s,281 pages; 20 cm,,,cookbooks,http://vocab.getty.edu/aat/300026109,Text,http://purl.org/dc/dcmitype/Text,text,application/pdf,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1915,,Equal Franchise Federation of Western Pennsylvania,,https://n2t.net/ark:/87292/w9kd13,TX715.K63.1915,Cookbooks_442,2012-05-08,2023-02-15,Cookbook Collection,https://n2t.net/ark:/87292/w92f7jq9f,Iowa Cookbook Collection,https://n2t.net/ark:/87292/w94b2xb69,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.3,,14555738 Bytes,,,,,,,,reformatted digital
cookbooks_003,Cookbooks_712,mrs_welchs_cook_book.pdf,Mrs. Welch's Cook Book,pdf,/objects/mrs_welchs_cook_book.pdf,/objects/small/mrs_welchs_cook_book_sm.jpg,/objects/thumbs/mrs_welchs_cook_book_th.jpg,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Welch, Mary B. (Mary Beaumont), 1840-1923",http://id.loc.gov/authorities/names/n87833612,,,,,,,"Cookbook by Mary B. Welch, Instructor, Domestic Economy, Iowa State College of Agriculture and Mechanic Arts, Ames, Iowa. Among the contributors are other professors from Iowa State College, including Professor of Pathology and Histology Dr. D. S. Fairchild; Professor of Chemistry Thomas E. Pope; and Professor of Physics J. K. Macomber.",,,eng,"Cooking, American",http://id.worldcat.org/fast/1753224,Iowa;Iowa--Story County,http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1221286,,,,,,,,,1880s,269 pages; 22 cm,,,cookbooks,http://vocab.getty.edu/aat/300026109,Text,http://purl.org/dc/dcmitype/Text,text,application/pdf,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1884,,Mills & Company,,https://n2t.net/ark:/87292/w9fk9m,TX715.W441.1884,Cookbooks_712,2012-05-08,2023-02-15,Cookbook Collection,https://n2t.net/ark:/87292/w92f7jq9f,Iowa Cookbook Collection,https://n2t.net/ark:/87292/w94b2xb69,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.3,,26797873 Bytes,,,,,,,,reformatted digital
cookbooks_004,Cookbooks_923,cook_book_peo_m.pdf,Cook Book,pdf,/objects/cook_book_peo_m.pdf,/objects/small/cook_book_peo_m_sm.jpg,/objects/thumbs/cook_book_peo_m_th.jpg,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,"P.E.O. Sisterhood. Chapter M. (Knoxville, Iowa)",,,,,,"Recipes compiled by Chapter M. of the P.E.O. Sisterhood under the direction of executive committee members Dickie Cornell Gebhardt and Maude Gilson Mentzer. An alternate title on the cover reads ""Tested recipes.""",,,eng,Cooking,http://id.worldcat.org/fast/1754966,Iowa;Iowa--Marion County,http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1209738,,,,,,,,,1900s,210 pages; 16.3 cm x 23.8 cm,,,cookbooks,http://vocab.getty.edu/aat/300026109,Text,http://purl.org/dc/dcmitype/Text,text,application/pdf,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1906,,"Curtis & Gilson Printers (Knoxville, Iowa)",,https://n2t.net/ark:/87292/w99w6b,TX715.P1x.1906,Cookbooks_923,2013-06-12,2023-02-15,Cookbook Collection,https://n2t.net/ark:/87292/w92f7jq9f,Iowa Cookbook Collection,https://n2t.net/ark:/87292/w94b2xb69,BookDrive Pro with BookDrive Capture 5.5 software. Canon EOS Rebel T3 BookDrive Pro with BookDrive Capture software. Canon EOS Rebel T3,,68177227 Bytes,,,,,,,,reformatted digital
cookbooks_005,Cookbooks_1030,flint_hills_cook_book.pdf,Flint Hills Cook Book,pdf,/objects/flint_hills_cook_book.pdf,/objects/small/flint_hills_cook_book_sm.jpg,/objects/thumbs/flint_hills_cook_book_th.jpg,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,"Christ Church Parish (Burlington, Iowa)",,,,,,"Recipes compiled by women of Christ Church Parish, Burlington, Iowa.",,,eng,"Cooking, American--Midwestern style;Cooking",http://id.worldcat.org/fast/1753229;http://id.worldcat.org/fast/1754966,Iowa;Iowa--Burlington;Iowa--Des Moines County,http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1216205;http://id.worldcat.org/fast/1213454,,,,,,,,,1890s,106 pages; 13.5 cm x 20.4 cm,,,cookbooks,http://vocab.getty.edu/aat/300026109,Text,http://purl.org/dc/dcmitype/Text,text,application/pdf,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1895,,"Conrad Lutz Printing, Binding (Burlington, Iowa)",,https://n2t.net/ark:/87292/w96620,TX715.2.M53.F5765x.1895,Cookbooks_1030,2013-06-13,2023-02-15,Cookbook Collection,https://n2t.net/ark:/87292/w92f7jq9f,Iowa Cookbook Collection,https://n2t.net/ark:/87292/w94b2xb69,BookDrive Pro with BookDrive Capture 5.5 software. Canon EOS Rebel T3 BookDrive Pro with BookDrive Capture software. Canon EOS Rebel T3,,32384093 Bytes,,,,,,,,reformatted digital
cookbooks_006,Cookbooks_1306,friends_cook_book.pdf,Friends' Cook Book,pdf,/objects/friends_cook_book.pdf,/objects/small/friends_cook_book_sm.jpg,/objects/thumbs/friends_cook_book_th.jpg,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,"Friends' Church (Oskaloosa, Iowa). Women of the Friends' Building Association",,,,,,"Recipes compiled by the Women of the Friends' Building Association of the Friends' Church in Oskaloosa, Iowa.",,,eng,"Cooking, American--Midwestern style;Cooking",http://id.worldcat.org/fast/1753229;http://id.worldcat.org/fast/1754966,Iowa;Iowa--Oskaloosa;Iowa--Mahaska County,http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1223607;http://id.worldcat.org/fast/1210437,,,,,,,,,1900s,275 pages; 15 cm x 22.4 cm,,,cookbooks,http://vocab.getty.edu/aat/300026109,Text,http://purl.org/dc/dcmitype/Text,text,application/pdf,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1902,,"Saturday Globe (Oskaloosa, Iowa)",,https://n2t.net/ark:/87292/w92d1f,TX715.2.M53.F75x.1902,Cookbooks_1306,2013-06-13,2023-02-15,Cookbook Collection,https://n2t.net/ark:/87292/w92f7jq9f,Iowa Cookbook Collection,https://n2t.net/ark:/87292/w94b2xb69,BookDrive Pro with BookDrive Capture 5.5 software. Canon EOS Rebel T3 BookDrive Pro with BookDrive Capture software. Canon EOS Rebel T3,,98839493 Bytes,,,,,,,,reformatted digital
cookbooks_007,Cookbooks_1322,honey_cook_book.pdf,Honey Cook Book,pdf,/objects/honey_cook_book.pdf,/objects/small/honey_cook_book_sm.jpg,/objects/thumbs/honey_cook_book_th.jpg,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,"Western Honey Producers (Sioux City, Iowa)",http://id.loc.gov/authorities/names/no2011146021,,,,,"Honey preparation and recipes containing honey, created by Western Honey Producers of Sioux City, Iowa.",,,eng,Cooking (Honey);Cooking;Honey,http://id.worldcat.org/fast/1753129;http://id.worldcat.org/fast/1754966;http://id.worldcat.org/fast/959914,Iowa;Iowa--Sioux City;Iowa--Woodbury County;Iowa--Plymouth County,http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1204171;http://id.worldcat.org/fast/1212640;http://id.worldcat.org/fast/1212222,,,,,,,,,1900s,15 pages; 8.6 cm x 14.6 cm,,,cookbooks,http://vocab.getty.edu/aat/300026109,Text,http://purl.org/dc/dcmitype/Text,text,application/pdf,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1906,,,,https://n2t.net/ark:/87292/w9xp77,TX767.H7.H655x.1906,Cookbooks_1322,2013-06-12,2023-02-15,Cookbook Collection,https://n2t.net/ark:/87292/w92f7jq9f,Iowa Cookbook Collection,https://n2t.net/ark:/87292/w94b2xb69,Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A,,8163216 Bytes,,,,,,,,reformatted digital
cookbooks_008,Cookbooks_1449,indian_corn_as_human_food.pdf,Indian Corn as Human Food,pdf,/objects/indian_corn_as_human_food.pdf,/objects/small/indian_corn_as_human_food_sm.jpg,/objects/thumbs/indian_corn_as_human_food_th.jpg,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Scott, Mary S. (Mary Sophia)",http://id.loc.gov/authorities/names/n91023597,,,,,,,Book on preparing corn (maize) dishes by Mary S. Scott.,,,eng,Cooking (Corn);Corn as food,http://id.worldcat.org/fast/1753075;http://id.worldcat.org/fast/879348,,,,,,,,,,,1880s,126 pages; 12 cm x 15.4 cm,,,cookbooks,http://vocab.getty.edu/aat/300026109,Text,http://purl.org/dc/dcmitype/Text,text,application/pdf,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1889,,"Payne & Son (Nevada, Iowa)",,https://n2t.net/ark:/87292/w9sw6p,TX809.C8.Sco85i,Cookbooks_1449,2013-06-13,2023-02-15,Cookbook Collection,https://n2t.net/ark:/87292/w92f7jq9f,Iowa Cookbook Collection,https://n2t.net/ark:/87292/w94b2xb69,BookDrive Pro with BookDrive Capture 5.5 software. Canon EOS Rebel T3 BookDrive Pro with BookDrive Capture software. Canon EOS Rebel T3,"Digital collections materials come from a broad range of sources and time periods. Some of these materials may be offensive or disrespectful or contain negative stereotypes. Their presence should be viewed and considered within their historical context. They do not represent the views of Iowa State University or the Library, which strives to create and maintain a welcoming and inclusive environment.",37235585 Bytes,,,,,,,,reformatted digital
cookbooks_009,Cookbooks_1458,sinclairs_fidelity_meats.pdf,Sinclair's Fidelity Meats,pdf,/objects/sinclairs_fidelity_meats.pdf,/objects/small/sinclairs_fidelity_meats_sm.jpg,/objects/thumbs/sinclairs_fidelity_meats_th.jpg,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"McKenzie Hill, Janet, 1852-1933",http://id.loc.gov/authorities/names/n85046444,,,,,,,"Recipes for preparing Sinclair's Fidelity products, compiled by Janet McKenzie Hill, editor of ""The Boston Cooking-School Magazine of Culinary Science and Domestic Economics.""",,,eng,Cooking (Meat);Canned meat;Cooking;Canned foods industry,http://id.worldcat.org/fast/1753151;http://id.worldcat.org/fast/845798;http://id.worldcat.org/fast/1754966;http://id.worldcat.org/fast/845776,Iowa;Iowa--Cedar Rapids;Iowa--Linn County,http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1206097;http://id.worldcat.org/fast/1212643,,,,,,,,,1900s,8 pages; 8.8 cm x 15.8 cm,,,cookbooks,http://vocab.getty.edu/aat/300026109,Text,http://purl.org/dc/dcmitype/Text,text,application/pdf,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1902,,T.M. Sinclair & Co.,http://id.loc.gov/authorities/names/no2011188962,https://n2t.net/ark:/87292/w9p62b,TX749.S492x.1902,Cookbooks_1458,2013-06-12,2023-02-15,Cookbook Collection,https://n2t.net/ark:/87292/w92f7jq9f,Iowa Cookbook Collection,https://n2t.net/ark:/87292/w94b2xb69,Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A,,4743106 Bytes,,,,,,,,reformatted digital
cookbooks_010,Cookbooks_1735,pellas_choicest_cooking_recipes.pdf,Pella's Choicest Cooking Recipes,pdf,/objects/pellas_choicest_cooking_recipes.pdf,/objects/small/pellas_choicest_cooking_recipes_sm.jpg,/objects/thumbs/pellas_choicest_cooking_recipes_th.jpg,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,"Central College (Pella, Iowa). Ladies' Auxiliary",,,,,,"Recipes contributed by the ""famous"" cooks of Pella, Iowa, and compiled by the Ladies' Auxiliary of Central College.",,,eng,"Cooking, American--Midwestern style;Cooking",http://id.worldcat.org/fast/1753229;http://id.worldcat.org/fast/1754966,Iowa;Iowa--Pella;Iowa--Marion County,http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1213418;http://id.worldcat.org/fast/1209738,,,,,,,,,1920s,276 pages; 22 cm,,,cookbooks,http://vocab.getty.edu/aat/300026109,Text,http://purl.org/dc/dcmitype/Text,text,application/pdf,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1920,,"Pella Press (Pella, Iowa)",,https://n2t.net/ark:/87292/w9jd0d,TX715-2-M53-P45x-1920,Cookbooks_1735,2013-10-29,2023-02-15,Cookbook Collection,https://n2t.net/ark:/87292/w92f7jq9f,Iowa Cookbook Collection,https://n2t.net/ark:/87292/w94b2xb69,Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A,,29614926 Bytes,,,,,,,,reformatted digital
cookbooks_011,Cookbooks_1876,cemetery_association_cook_book.pdf,Cemetery Association Cook Book,pdf,/objects/cemetery_association_cook_book.pdf,/objects/small/cemetery_association_cook_book_sm.jpg,/objects/thumbs/cemetery_association_cook_book_th.jpg,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,"Ladies' Cemetery Association (Elgin, Iowa)",,,,,,"Recipes compiled by the Ladies' Cemetery Association of Elgin, Iowa. An alternate title on the cover reads ""L.C.A. cook book.""",,,eng,"Cooking, American--Midwestern style;Cooking",http://id.worldcat.org/fast/1753229;http://id.worldcat.org/fast/1754966,Iowa,http://id.worldcat.org/fast/1205835,,,Iowa--Elgin,,,,,,1900s,140 pages; 21 cm,,,cookbooks,http://vocab.getty.edu/aat/300026109,Text,http://purl.org/dc/dcmitype/Text,text,application/pdf,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1903,,"Elgin Echo (Elgin, Iowa)",,https://n2t.net/ark:/87292/w9dp8z,TX715-2-M53-C45x-1903,Cookbooks_1876,2013-10-29,2023-02-15,Cookbook Collection,https://n2t.net/ark:/87292/w92f7jq9f,Iowa Cookbook Collection,https://n2t.net/ark:/87292/w94b2xb69,Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A,,15126003 Bytes,,,,,,,,reformatted digital
cookbooks_012,Cookbooks_1936,cook_book_choice_and_tested_recipes_redfield.pdf,"Cook Book: Choice and Tested Recipes Furnished by the Ladies of Redfield, Iowa",pdf,/objects/cook_book_choice_and_tested_recipes_redfield.pdf,/objects/small/cook_book_choice_and_tested_recipes_redfield_sm.jpg,/objects/thumbs/cook_book_choice_and_tested_recipes_redfield_th.jpg,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Redfield (Iowa) Women's Club,,,,,,"Recipes compiled by the Redfield Women's Club, Redfield, Iowa. An alternate title on the cover reads ""Redfield cook book.""",,,eng,"Cooking, American--Midwestern style;Cooking",http://id.worldcat.org/fast/1753229;http://id.worldcat.org/fast/1754966,Iowa,http://id.worldcat.org/fast/1205835,,,Iowa--Redfield,,,,,,1900s,59 pages; 19 cm,,,cookbooks,http://vocab.getty.edu/aat/300026109,Text,http://purl.org/dc/dcmitype/Text,text,application/pdf,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1906,,"Sweeley the Printer (Adel, Iowa)",,https://n2t.net/ark:/87292/w98w5n,TX715.2-M53-C664x-1906,Cookbooks_1936,2013-10-29,2023-02-15,Cookbook Collection,https://n2t.net/ark:/87292/w92f7jq9f,Iowa Cookbook Collection,https://n2t.net/ark:/87292/w94b2xb69,Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A,,7482231 Bytes,,,,,,,,reformatted digital
cookbooks_013,Cookbooks_2030,tested_recipes_keosauqua_cook_book.pdf,Tested Recipes: The Keosauqua Cook Book and Business Directory,pdf,/objects/tested_recipes_keosauqua_cook_book.pdf,/objects/small/tested_recipes_keosauqua_cook_book_sm.jpg,/objects/thumbs/tested_recipes_keosauqua_cook_book_th.jpg,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,"Christian Church (Keosauqua, Iowa)",,,,,,"Recipes contributed by women of the Keosauqua, Iowa, region and compiled by the Second Committee of the Dorcas Society of the Christian Church. An alternate title on the cover reads ""Keosauqua cook book and business directory. Second edition.""",,,eng,"Cooking, American--Midwestern style;Cooking;Community cookbooks",http://id.worldcat.org/fast/1753229;http://id.worldcat.org/fast/1754966;http://id.worldcat.org/fast/870814,Iowa;Iowa--Keosauqua;Iowa--Van Buren County,http://id.worldcat.org/fast/1205835;http://id.worldcat.org/fast/1289805;http://id.worldcat.org/fast/1216955,,,,,,,,,1920s,93 pages; 23 x 15.5 cm,,,cookbooks,http://vocab.getty.edu/aat/300026109,Text,http://purl.org/dc/dcmitype/Text,text,application/pdf,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1922,,,,https://n2t.net/ark:/87292/w95632,TX715.2-M53-T474x-1922,Cookbooks_2030,2014-07-01,2023-02-15,Cookbook Collection,https://n2t.net/ark:/87292/w92f7jq9f,Iowa Cookbook Collection,https://n2t.net/ark:/87292/w94b2xb69,Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A,,10145397 Bytes,,,,,,,,reformatted digital